wdr,dissim,leven
724,158,167
322,482,326
626,630,599
554,782,618
302,548,652
514,892,988
1017,40,87
60,813,716
169,763,728
18,815,939
694,824,702
776,473,340
427,904,957
219,488,498
584,607,636
521,626,690
339,560,724
886,650,454
1001,16,42
1042,400,6
813,218,344
998,112,56
76,934,1007
438,601,592
524,797,862
440,978,971
29,688,635
41,964,1022
971,185,202
792,24,126
875,36,31
977,355,448
406,958,901
308,908,875
859,368,242
763,623,597
666,366,332
819,610,694
113,926,985
1041,13,1043
377,343,294
542,611,512
382,10,29
52,478,65
163,31,517
205,292,295
866,668,384
124,1035,989
976,69,335
231,625,677
502,417,316
32,853,902
1025,23,18
517,590,608
509,640,684
908,454,575
61,627,661
677,328,360
899,147,166
272,994,964
858,138,140
786,397,272
447,798,714
896,117,214
211,552,830
1032,2,21
261,680,427
109,986,956
411,772,841
244,914,932
926,336,267
265,572,593
523,361,400
388,235,255
938,654,586
196,962,949
383,801,721
802,362,285
846,284,154
672,357,338
932,99,80
610,374,291
953,44,41
298,177,92
1022,210,142
300,125,132
153,212,179
526,821,947
797,426,424
849,66,100
64,18,718
230,181,173
538,432,449
708,726,735
98,751,742
201,312,234
728,356,319
902,373,289
310,50,48
661,30,1006
770,340,481
788,900,851
135,609,520
516,476,627
946,61,81
975,269,488
70,857,701
181,800,736
439,1008,979
291,599,609
675,742,577
618,342,307
346,1024,1027
942,225,383
540,320,302
595,685,645
696,408,279
144,912,889
199,840,834
752,326,485
826,589,415
530,199,181
596,495,514
36,363,89
936,1040,808
28,1023,1026
947,267,395
607,493,420
22,649,570
488,614,625
312,916,1015
82,1042,1034
904,567,654
548,471,560
355,781,698
356,447,595
47,666,622
664,204,281
893,323,304
1048,156,4
142,1011,1045
499,773,811
751,681,555
839,65,57
550,285,345
413,880,870
385,554,531
879,215,205
415,848,786
1026,341,35
332,532,352
528,708,823
330,644,676
192,1020,993
324,565,457
501,722,552
441,496,382
887,520,691
798,486,629
723,796,708
206,670,461
323,831,787
539,999,643
34,1036,1004
478,1037,990
756,672,832
834,463,445
934,856,874
856,236,170
16,1012,928
58,1038,1021
535,399,470
1033,540,7
396,814,846
229,631,459
9,133,771
1021,309,535
30,1017,991
255,553,611
444,733,637
175,475,318
576,230,156
807,580,685
200,1029,1018
299,775,980
425,637,544
107,490,396
658,656,744
38,858,848
733,419,350
83,819,922
313,879,951
464,380,740
121,947,944
162,974,965
417,602,649
