dwr,dissim,leven
-0.13908,0.41559,1.3899
-0.17666,0.26774,-0.21721
0.0026503,0.0032509,-0.54166
-0.093964,0.057922,-0.56508
-0.13077,0.12083,-0.55383
-0.30424,0.23533,-1.1186
-0.11944,0.30134,0.26174
-0.10908,0.22993,-0.2609
-0.14148,0.2322,-0.011843
-0.1358,0.19565,-0.070823
0.018899,0.17148,-0.17398
-0.12325,0.23951,0.14365
-0.1829,0.13574,-0.3106
-0.15937,0.12884,0.25037
0.036352,-0.12557,-0.66863
-0.10133,0.22949,-0.077765
-0.13551,0.025801,-0.54035
-0.14332,0.020804,-0.47313
-0.24504,0.30827,0.88147
-0.080458,0.28861,0.73908
0.011713,-0.014816,-0.60647
-0.13551,0.2405,0.11113
-0.21699,0.31608,0.21632
-0.12494,0.20778,-0.28173
-0.16935,0.27901,0.05799
-0.081082,0.074093,-0.52688
-0.10862,-0.24128,-0.8709
-0.16365,0.22846,0.28853
-0.14271,0.36201,1.6574
-0.12754,0.1507,-0.18763
-0.14762,0.37135,0.66214
-0.2393,0.5358,3.7904
-0.10217,0.33511,1.0809
-0.10662,0.14807,-0.20458
-0.19196,0.36998,0.44619
-0.154,0.28501,0.96842
-0.16324,0.14367,-0.17503
-0.12053,0.12067,-0.45558
-0.13113,0.10579,-0.22989
-0.19231,0.36381,1.0904
-0.1951,0.18969,0.69275
-0.14946,0.1669,-0.21241
-0.191,0.21288,-0.10677
-0.19568,0.2275,-0.33506
-0.10421,0.14748,-0.51524
-0.12692,0.20054,-0.013279
-0.15088,0.2375,0.14904
-0.23449,-0.034699,-1.0436
-0.050896,0.097699,-0.055756
-0.057323,0.12806,0.28057
-0.15891,0.36338,0.72126
-0.082873,0.063975,-0.49236
-0.14205,0.27072,0.31523
-0.082414,0.0095629,-0.4425
-0.17486,0.4115,1.0666
-0.080521,0.18134,0.27459
-0.13505,0.33188,0.40206
-0.13419,0.10788,-0.2908
-0.12779,0.35087,0.19047
-0.07128,0.28029,0.45314
-0.010043,0.023377,-0.63113
0.019462,-0.01457,-0.38548
-0.045432,0.052756,-0.35763
-0.19444,0.28823,0.16447
-0.075893,0.05738,-0.52956
-0.090362,-0.12166,-0.69167
-0.07464,0.11376,-0.18079
-0.1137,0.22286,-0.15024
