wdr,dissim,leven
0.001381945,0.0935245,0.000635992
0.001420186,0.093450097,0.000805803
0.002166715,0.09288995,0.000542157
-0.000209189,0.092243142,0.001512291
0.001391122,0.094075394,0.000746706
0.001328819,0.093958095,0.000743781
0.001030725,0.094331564,0.000747456
0.002943907,0.09299567,0.000527912
0.000976902,0.094416318,0.000897305
0.002015253,0.094324294,0.000838532
0.001020779,0.092309562,0.000607474
0.000780867,0.095343678,0.001101126
0.001094318,0.094709241,0.001111837
0.0012348,0.095621839,0.001533443
0.000787225,0.093456764,0.00082327
0.001636417,0.095784579,0.002058607
0.000556218,0.095079762,0.001168248
0.001015103,0.094569063,0.001175312
0.001194819,0.095118824,0.001213663
0.000752148,0.095987212,0.001391259
0.00102488,0.095554315,0.001349178
0.000638829,0.094746443,0.001243665
0.000373658,0.0961474,0.001566287
0.001034498,0.094500647,0.000904599
0.000375475,0.094228908,0.000860627
0.001131164,0.095469487,0.001820282
0.001108724,0.095708138,0.002214126
0.000778584,0.09649816,0.002026604
0.001204717,0.094438418,0.000875049
0.001075538,0.096652242,0.001859134
0.000620655,0.096396214,0.002307197
0.000990098,0.095642207,0.001974594
0.000965606,0.094987045,0.000958885
0.00142211,0.094994989,0.002024305
0.000806574,0.096284553,0.002100404
0.000643158,0.096331559,0.001630876
0.000895394,0.095824918,0.001801805
0.001047493,0.094317865,0.000926467
0.000576733,0.095253093,0.001094877
0.001136769,0.09439749,0.000810643
0.0009617,0.096292358,0.001873188
0.000948915,0.09563738,0.001644178
0.000543317,0.096159493,0.002439507
0.000818292,0.095165305,0.001065875
0.001096213,0.09556491,0.00119796
0.001125495,0.096799555,0.002362672
0.00078713,0.095473497,0.001718833
0.001094346,0.095134851,0.000934934
0.000725721,0.093740561,0.000696985
0.001889054,0.091185976,0.000409893
0.000976864,0.093638471,0.000798653
0.002042398,0.092133314,0.000904271
0.001199195,0.09332196,0.000808977
0.000639684,0.096219937,0.00259601
0.001045025,0.094284849,0.000680147
0.001156602,0.096427223,0.001601893
0.001575829,0.095248373,0.001545319
0.000541962,0.096976392,0.002416261
0.001258182,0.095418418,0.00131284
0.000438799,0.093409297,0.001027371
0.001474325,0.092132036,0.000429941
0.001067907,0.093895014,0.000762943
0.000758807,0.096632856,0.003018636
0.001208305,0.096088947,0.001613287
0.001018324,0.094557895,0.001891091
0.001288387,0.093323573,0.000913307
0.001214409,0.094733236,0.000635445
0.000900197,0.095434018,0.001396898
0.001370932,0.093545033,0.000766071
0.000598687,0.094717884,0.000938913
0.000523281,0.09633694,0.00169358
0.00113899,0.094698165,0.001345279
0.000845091,0.097132393,0.002716271
0.001029472,0.094254778,0.000785333
0.001185569,0.093543146,0.000767172
0.002840143,0.079894013,0.000324366
0.001336822,0.094500217,0.001052464
0.000591777,0.09634277,0.002397267
0.001294979,0.094846597,0.001329271
0.000716407,0.097026114,0.003246206
0.001210411,0.095720772,0.001712814
0.001922667,0.092142202,0.000375428
0.000707808,0.095442187,0.001384065
0.000904816,0.092395847,0.000411296
0.002036219,0.095356014,0.001419697
0.001018253,0.095270265,0.001108332
0.000660203,0.09499435,0.002651807
0.001136537,0.09444719,0.000817054
0.001168009,0.096107304,0.002147183
0.00094551,0.094690812,0.001023236
0.001089684,0.094057747,0.00079973
0.00101059,0.092964451,0.000535923
0.000985915,0.095870235,0.001860503
0.001780447,0.095583855,0.001412929
0.000568017,0.094633179,0.001194914
0.000586616,0.095910633,0.002113315
0.000762619,0.095815498,0.001487544
0.002200173,0.092548995,0.000622837
0.001240558,0.095049583,0.001115013
0.002107649,0.089036581,0.000662644
0.001102726,0.095060446,0.001942865
0.001145316,0.095452916,0.001688145
0.000715316,0.095206423,0.001912315
0.001054531,0.094872673,0.000946511
0.003524986,0.091186297,0.000311478
0.000750637,0.097373724,0.003132093
0.002007181,0.092695843,0.000756755
0.001478063,0.095891862,0.001716941
0.001362914,0.092470347,0.000534636
0.000821076,0.097124788,0.003465248
0.000768494,0.095678304,0.001306525
0.00046187,0.095852078,0.001169409
0.000924932,0.095917987,0.001738347
0.001097588,0.093438792,0.000916295
0.001117953,0.094723427,0.000865087
0.000739752,0.096517509,0.003636719
0.000947841,0.097286404,0.004113222
0.00112687,0.091625984,0.00031382
0.000888794,0.092573875,0.00046005
0.000661596,0.094514486,0.001000158
0.001011678,0.096068853,0.001645911
0.000859461,0.096634393,0.00246563
0.001747385,0.09385698,0.000793438
0.000596149,0.094188461,0.001041746
0.001234204,0.096406272,0.00244329
0.001422374,0.092421964,0.000686915
0.000721753,0.093694616,0.000650885
0.000838129,0.097227395,0.003696846
0.001160436,0.096162902,0.001981089
0.000713832,0.097521181,0.003044469
0.001364988,0.093764079,0.000774347
